channel_id	title	tags	country	default_language	videoCount	viewCount	subscriberCount	thumbnail
UCgc00bfF_PvO_2AvqJZHXFg	Boyce Avenue	['Music', 'Pop music']	US	NA	399	5387007513	14400000	https://yt3.ggpht.com/a/AATXAJz8zzMbNFbGZl0Ql-aj7-rjA9uxiH0hjkACKhgwZg=s800-c-k-c0x00ffffff-no-rj-mo
UCIwFjwMjI0y7PDBVEO9-bkQ	Justin Bieber	['Pop music', 'Entertainment', 'Music']	CA	NA	184	1082749707	58600000	https://yt3.ggpht.com/ytc/AAUvwnjpa2md8Bfk-LdYllfDdWWdF6CpKebvAlI5NifS6Q=s800-c-k-c0x00ffffff-no-rj-mo
UCLkAepWjdylmXSltofFvsYQ	BANGTANTV	['Music', 'Pop music']	NA	NA	1331	5731795674	40000000	https://yt3.ggpht.com/a/AATXAJxx8seq8TT5Tu50d0owy8R8hskbgY1Pmz4VgnJxjw=s800-c-k-c0x00ffffff-no-rj-mo
UC5OrDvL9DscpcAstz7JnQGA	Michael Jackson	['Performing arts', 'Music', 'Pop music']	NA	NA	7	37211436	19200000	https://yt3.ggpht.com/a/AATXAJxBB6CQQqAbB8zodHdto8LbNJPTjOA2zgKAzjjv5xo=s800-c-k-c0x00ffffff-no-rj-mo
UCe52oeb7Xv_KaJsEzcKXJJg	MBCkpop	['Performing arts', 'Music of Asia', 'Pop music', 'Music']	NA	NA	38852	6439692777	8760000	https://yt3.ggpht.com/a/AATXAJy_Oi3hDOmmF4kcUUOLlr8mVpICzCim-QEeqPEkbA=s800-c-k-c0x00ffffff-no-rj
UCORIeT1hk6tYBuntEXsguLg	PostmodernJukebox	['Music', 'Jazz', 'Pop music']	US	NA	386	1533123013	5050000	https://yt3.ggpht.com/a/AATXAJzChqIqOf_0cdyFEnRnIFAFisRrSlkyPbkU25_9MA=s800-c-k-c0x00ffffff-no-rj
UCnyB9MYKRkSFK3IIB32CoVw	DemiLovatoVEVO	['Pop music', 'Music']	NA	en	174	4985887367	11500000	https://yt3.ggpht.com/a/AATXAJynxZIi7X4KdxYFPyVLXPaCVZwIclBuLFtkqjfQ5Q=s800-c-k-c0x00ffffff-no-rj-mo
UCDPM_n1atn2ijUwHd0NNRQw	Coldplay	['Pop music', 'Independent music', 'Music', 'Rock music']	GB	NA	264	10915869890	17800000	https://yt3.ggpht.com/a/AATXAJwuEpRs3K0n_bTwl16giLmpy-Y9oF1C3zRByh_Frw=s800-c-k-c0x00ffffff-no-rj-mo
UC9CoOnJkIBMdeijd9qYoT_g	Ariana Grande	['Pop music', 'Music']	NA	NA	173	1109503017	44500000	https://yt3.ggpht.com/a/AATXAJzjvb_P4glrCLRKwPesFyG9F8pjpofFMmBgEVMR4A=s800-c-k-c0x00ffffff-no-rj-mo
UCqECaJ8Gagnn7YCbPEzWH6g	Taylor Swift	['Pop music', 'Music']	NA	NA	179	350700957	40300000	https://yt3.ggpht.com/a/AATXAJymPwE0-PXbFjcJDrZ9unwi5qXZq3dWLB53ha7nwZw=s800-c-k-c0x00ffffff-no-rj-mo
UCulYu1HEIa7f70L2lYZWHOw	michaeljacksonVEVO	['Pop music', 'Music']	NA	en	120	8598047404	8170000	https://yt3.ggpht.com/a/AATXAJxBB6CQQqAbB8zodHdto8LbNJPTjOA2zgKAzjjv5xo=s800-c-k-c0x00ffffff-no-rj-mo
UComP_epzeKzvBX156r6pm1Q	AdeleVEVO	['Pop music', 'Soul music', 'Music']	NA	NA	31	9212156946	15500000	https://yt3.ggpht.com/a/AATXAJxcy_toqlRnq_wSsTN7LWYvbfyr7u6Q5tq2uZwBqQ=s800-c-k-c0x00ffffff-no-rj-mo
UCDPM_n1atn2ijUwHd0NNRQw	Coldplay	['Independent music', 'Music', 'Pop music', 'Rock music']	GB	NA	264	10915869890	17800000	https://yt3.ggpht.com/a/AATXAJwuEpRs3K0n_bTwl16giLmpy-Y9oF1C3zRByh_Frw=s800-c-k-c0x00ffffff-no-rj-mo
UCpx_k19S2vUutWUUM9qmXEg	ImagineDragonsVEVO	['Music', 'Independent music', 'Pop music', 'Rock music']	NA	en	108	9537818344	10000000	https://yt3.ggpht.com/a/AATXAJxYKvV8ivJXbjXGr-yTsZkStrHlWQ7aVmIFD0G69Q=s800-c-k-c0x00ffffff-no-rj-mo
UC98tcedR6gULv8_b70WJKyw	Frog Leap Studios	['Music', 'Rock music']	NA	NA	831	1023846324	4090000	https://yt3.ggpht.com/a/AATXAJy8tSPi8Kb5LYazeHn_prZaY23ejaLqynzYZP7EFQ=s800-c-k-c0x00ffffff-no-rj
